Name,Email,Age,City,Purchase_Amount
David26,david26@yahoo.com,65,Phoenix,115.49
David693,david693@mail.com,65,Miami,48.03
Ned33,ned33@yahoo.com,19,Los Angeles,120.17
Tina28,tina28@mail.com,53,Houston,212.66
Olive604,olive604@gmail.com,35,Boston,380.61
Frank715,frank715@outlook.com,45,New York,81.96
Karen105,karen105@gmail.com,23,Dallas,182.69
Leo619,leo619@gmail.com,34,Boston,366.22
Rose128,rose128@mail.com,42,Los Angeles,150.12
Tina907,tina907@yahoo.com,41,Austin,353.76
Bob678,bob678@outlook.com,32,Boston,492.68
Hank888,hank888@outlook.com,24,Dallas,229.44
Leo167,leo167@yahoo.com,41,New York,336.74
Carol624,carol624@mail.com,58,Chicago,365.92
Frank474,frank474@mail.com,42,Phoenix,113.71
Karen864,karen864@gmail.com,21,Houston,403.5
Mona275,mona275@mail.com,22,Houston,438.8
Karen218,karen218@hotmail.com,59,San Diego,442.92
Olive147,olive147@yahoo.com,34,Chicago,373.77
Rose270,rose270@hotmail.com,65,Austin,449.42
Mona371,mona371@mail.com,32,Chicago,249.29
Bob882,bob882@yahoo.com,25,Chicago,397.08
Ned611,ned611@hotmail.com,22,Dallas,299.96
Olive542,olive542@gmail.com,34,New York,341.74
David699,david699@outlook.com,52,Boston,385.46
Karen115,karen115@yahoo.com,36,Dallas,229.59
Iris996,iris996@yahoo.com,50,Boston,256.3
David892,david892@mail.com,58,Phoenix,306.44
Eve383,eve383@mail.com,28,New York,459.65
Tina332,tina332@gmail.com,49,New York,464.9
Jack246,jack246@mail.com,21,Houston,473.74
Carol750,carol750@gmail.com,49,Denver,489.1
Rose785,rose785@hotmail.com,26,Chicago,473.69
Frank272,frank272@mail.com,51,Denver,214.45
Grace952,grace952@yahoo.com,52,Boston,357.91
Mona688,mona688@hotmail.com,59,New York,450.31
Olive124,olive124@gmail.com,33,Houston,172.35
Sam568,sam568@yahoo.com,32,Austin,8.56
Bob235,bob235@gmail.com,22,Miami,430.52
Carol527,carol527@hotmail.com,33,Phoenix,111.05
Eve741,eve741@hotmail.com,54,Austin,125.28
Paul827,paul827@gmail.com,44,Houston,52.98
Ned363,ned363@hotmail.com,45,Dallas,432.6
Bob690,bob690@gmail.com,59,New York,35.0
Karen820,karen820@yahoo.com,24,Houston,99.15
Olive144,olive144@outlook.com,45,Chicago,234.0
Carol454,carol454@gmail.com,53,Los Angeles,327.81
Rose857,rose857@yahoo.com,18,Los Angeles,87.32
Paul493,paul493@hotmail.com,31,Denver,451.71
Frank389,frank389@outlook.com,18,Dallas,463.63
Olive293,olive293@mail.com,45,Seattle,332.63
